"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"C0402_medium";1;"10nF";;;
2;"R11,R12";"R0603_medium";2;"4.7k";;;
3;"C6,C5";"C0402_medium";2;"10pF";;;
4;"C8,C10,C15,C9,C13";"C0805_medium";5;"1uF";;;
5;"SW4";"1101M2S5AQE2";1;"ON/OFF";;;
6;"R2";"R0603_medium";1;"180";;;
7;"R4,R1,R13,R19,R10,R21";"R0603_medium";6;"10k";;;
8;"C4,C14,C12";"C0603_medium";3;"0.1uF";;;
9;"SW5";"1101M2S5AQE2";1;"MODE";;;
10;"D2,D4,D3";"Kingbright-APDA3020";3;"LED";;;
11;"U6";"MOLEX_2137160001";1;"2137160001";;;
12;"SW1";"PTS815SJM250SMTRLFS";1;"NRST";;;
13;"D5";"Kingbright-APBDA3020";1;"APBDA3020SURKCGKC-GX";;;
14;"U3";"6-WDFN";1;"TPS745";;;
15;"U2";"SAM-M10Q";1;"SAM-M10Q";;;
16;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F031C4T6";;;
17;"SW3";"Molex_MicroClasp_55932-0410_1x04_P2.00mm_Vertical";1;"ACTION";;;
18;"R3,R14,R22,R18,R17,R20,R23";"R0603_medium";7;"1k";;;
19;"Q1";"SOT-23-3";1;"3904";;;
20;"SW2";"CJS-1200TA";1;"BOOT";;;
21;"D1";"SOD-123-2";1;"D";;;
22;"J1";"CONN_3220-10-0100-00_CNC";1;"3220-10-0300-00";;;
23;"Y1";"CS06465-32M";1;"CS06465-32M";;;
24;"C1,C2,C11";"C1206_medium";3;"4.7uF";;;
25;"BZ1";"CSQG703BP";1;"CSQG703BP";;;
26;"U5";"8-UFDFN";1;"M24256";;;
27;"BAT1,BAT2";"54";2;"Conn_01x01_Pin";;;
28;"Q2,Q3";"SOT-23-3";2;"DMN3731U-7";;;
29;"R15,R16";"R0603_medium";2;"47";;;
30;"R7,R8";"R0603_medium";2;"127";;;
31;"R6";"R0603_medium";1;"4.12k";;;
32;"Q4,Q6,Q5";"SOT-23-3";3;"DMP2004K-7";;;
33;"TH1";"R0603_medium";1;"10K";;;
34;"U4";"10-MSOP";1;"LTC1733";;;
35;"R5";"R0603_medium";1;"1.5k";;;
36;"R9";"R0603_medium";1;"51";;;
