"Reference","Footprint","Manufacturer PN","Distributor Link"
"BT1","MB-SW:Solder_Joint_1_2","",""
"BZ1","MB-Buzzer:SMTB-0927-TW-R","668-SMTB-0927-TW-RTR-ND","https://www.digikey.com/en/products/detail/pui-audio-inc/smtb-0927-tw-r/13165907"
"C1,C2,C6,C14,C17,C18","Capacitor_SMD:C_0603_1608Metric","399-13217-2-ND","https://www.digikey.com/en/products/detail/kemet/C1210C105K8RACTU/2216484?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRAHZYBWMKkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwANgQhkkdNnxFSIAByxYEgAwNmbSJx4DhY8OWmz5uAsUhlYAJnuxaOkK3Zc%2BQ0eICcK33NUTCslWxBtehN7TVhA6Dc9EABVfl4WAHkUAFkcNCwAV24cEAIC9gBWgDFSkABbAXYIAjq0AA8mnxAAWggEixDFGzIAZl9AqIJu%2ByDIHgKh5TookREgA"
"C3","Capacitor_SMD:C_0603_1608Metric","399-C0603C103K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C0603C103K8RACTU/2199758"
"C4","Capacitor_SMD:C_0805_2012Metric","399-C1210C475K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C1210C475K8RACTU/2216925?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRAHZYBWMKkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwANgQhkkdNnxFSIAByxYEgAwNmbSJx4DhY8OWmz5uAsUhlYAJnuxaOkK3Zc%2BQ0eICcK33NUTCslWxBtehN7TVhA6Dc9EABVfl4WAHkUAFkcNCwAV24cEAIC9gBWgDFSkABbAXZYADozAjq0AA8m1p8QAFoIBIsQxRsyAGZfQKiCfvsgyB4CseU6KJERIA"
"C5,C8,C10,C12,C13,C15,C16,C19","Capacitor_SMD:C_0805_2012Metric","399-C0805C104K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C0805C104K8RACTU/2211745"
"C7,C9,C11","Capacitor_SMD:C_0805_2012Metric","399-C1210C106K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C1210C106K8RACTU/2216503"
"D1,D2,D3,D4","MB-Opto:WE-0603-Mono-Chip-Advance","732-150060RS75003TR-ND","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060RS75003/16022171"
"D5,D6,D7,D8","MB-Opto:WE-1204-Mono-Side","732-5024-2-ND","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/155124GS73200/4490038"
"D9","MB-SOD:SOD-123-2","MMSD4148T1GOSTR-ND","https://www.digikey.com/en/products/detail/onsemi/mmsd4148t1g/919705"
"J1","MB-Conn:GCT_USB4110GFA","2073-USB4110-GF-A-2-ND","https://www.digikey.com/en/products/detail/gct/usb4110-gf-a/10384547"
"J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","S9016E-04-ND","https://www.digikey.com/en/products/detail/sullins-connector-solutions/GRPB041VWCN-RC/1786467"
"Q1","Package_TO_SOT_SMD:SOT-323_SC-70","MMBT3904LT1GOSTR-ND","https://www.digikey.com/en/products/detail/onsemi/mmbt3904lt1g/919601"
"R1","MB-Generic:R0603_medium","311-4.12KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-074k12l/727204"
"R2,R3","MB-Generic:R0603_medium","311-261HRTR-ND","https://www.digikey.com/en/products/detail/yageo/RC0603FR-07261RL/727095?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAGYBOAJgBZ4BdAgBwBcoQBlVgJwEsAdgHMQAXwJhKADkoIQySOmz4ipEAAYQDcSGrqpAVjkKluAsUhlqsMAAIA8gAsAtli0t2kEAFUBfVvYoALI4aFgArjw4YgQAtNTGULzhKhZkRtpxENDyqJhmqpbg5Fo6sbSJivmparTkBvAEUmB0UiAElPQA7AnaoqJAA"
"R4,R5,R6,R8,R9","MB-Generic:R0603_medium","311-1.00KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-071kl/726843"
"R7","MB-Generic:R0603_medium","311-1.50KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-071k5l/726864"
"R10,R11,R12","MB-Generic:R0603_medium","311-10.0KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-0710kl/726880"
"R13","MB-Generic:R0603_medium","311-180HRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-07180rl/726994"
"R14,R15,R16","MB-Generic:R0603_medium","13-RC0603JR-072RLTR-ND","https://www.digikey.com/en/products/detail/yageo/RC0603JR-072RL/5918445?s=N4IgjCBcoMxaBjKAzAhgGwM4FMA0IB7KAbRACYBWABjgF18AHAFyhAGUmAnASwDsBzEAF98YAGzwQSSGix5CJEDACcZACwT6IZqw48Bw0coAcyydNk58RSKSohaI8lWMVzKDFYW3yAAgDyABYAtpgOjCyQIACqvNxM-sgAstiomACunNiGIAC0ZO6QXOnyNqRujvi5ENBSHnLWimB0TrlqhZalimowFBL4xmDqxiD4yhoA7AWOQkJAA"
"SW1,SW4","MB-SW:Solder_Joint_1_2","",""
"SW2","MB-SW:PTS815SJM250SMTRLFS","CKN12215-2-ND","https://www.digikey.com/en/products/detail/c-k/pts815sjm250smtrlfs/9947846"
"SW3","Button_Switch_SMD:Nidec_Copal_CAS-120A","563-1021-2-ND","https://www.digikey.com/en/products/detail/nidec-components-corporation/cjs-1200ta/948332"
"SW5","MB-SW:Solder_Joint_1_2","",""
"TH1","MB-Generic:R0603_medium","490-18139-2-ND","https://www.digikey.com/en/products/detail/murata-electronics/ncu18xh103f6srb/7243451"
"TP1,TP2,TP3,TP4,TP5,TP6","TestPoint:TestPoint_Pad_D1.5mm","",""
"U1","Package_TO_SOT_SMD:SOT-223-6","296-13810-2-ND","https://www.digikey.com/en/products/detail/texas-instruments/tps79533dcqr/510347"
"U2","MB-MSOP:10-MSOP-TE","LTC1733EMSE#TRPBFTR-ND","https://www.digikey.com/en/products/detail/analog-devices-inc/ltc1733emse-trpbf/961156"
"U3","MB-GNSS:SAM-M10Q","672-SAM-M10Q-00BTR-ND","https://www.digikey.com/en/products/detail/u-blox/sam-m10q-00b/16672678"
"U4","Package_QFP:LQFP-48_7x7mm_P0.5mm","497-8307-ND","https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F102C8T6/1956086"
"X1","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","XC3030TR-ND","https://www.digikey.com/en/products/detail/ecs-inc/ecs-2520mv-160-cn-tr/9742387"
